python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-dateutil 2.8.1-6
python-decorator 5.0.9-1
python-defusedxml 0.7.1-2
python-deprecation 2.1.0-3
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-entrypoints 0.3-6
python-html5lib 1.1-6
python-idna 3.1-1
python-importlib-metadata 4.0.1-1
python-ipykernel 5.5.3-1
python-ipywidgets 7.6.3-1
python-jedi 0.18.0-2
python-jinja 3.0.1-1
python-json5 0.9.5-3
python-jsonschema 3.2.0-4
python-jupyter_client 6.1.12-1
python-jupyter_core 4.7.1-1
python-jupyter_packaging 0.10.2-1
